#Frame      Mode1    Mode2
     745   -8.847   -2.236
     746   -8.235   -3.160
     747   -8.963   -3.185
     748   -8.204   -2.996
     749   -9.157   -3.275
     750   -8.782   -3.376
     751   -9.944   -4.117
     752   -9.931   -4.364
     753   -8.866   -2.779
     754   -9.178   -3.371
     755   -9.027   -3.646
     756   -9.167   -3.258
     757   -9.433   -3.958
     758   -8.776   -3.346
     759   -9.619   -2.702
     760   -8.742   -2.675
     761   -8.213   -2.320
     762   -8.792   -2.758
     763   -9.325   -2.527
     764   -8.646   -2.660
     765   -8.584   -3.396
     766   -8.431   -1.907
     767   -8.535   -2.444
     768   -8.372   -2.735
     769   -9.568   -3.225
     770   -8.949   -3.790
     771   -9.162   -3.067
     772   -8.942   -2.965
     773   -9.724   -2.392
     774   -9.123   -2.842
     775   -9.950   -2.853
     776   -9.256   -3.541
     777   -8.252   -3.831
     778   -9.935   -3.789
     779  -10.202   -4.206
     780  -10.026   -4.452
     781  -10.423   -4.629
     782  -10.208   -3.673
     783   -9.171   -4.621
     784   -9.529   -4.767
     785   -9.432   -6.012
     786  -10.623   -3.244
     787   -9.473   -3.514
     788   -9.905   -3.690
     789   -9.938   -4.489
     790  -10.522   -3.099
     791  -10.176   -3.788
     792  -10.220   -5.173
     793   -9.375   -4.068
     794  -10.386   -3.865
     795  -10.424   -4.222
     796   -9.818   -2.693
     797   -9.689   -3.464
     798   -8.777   -3.760
     799   -9.459   -4.132
     800   -9.469   -3.853
     801   -9.284   -3.616
     802   -8.437   -3.067
     803   -8.583   -3.570
     804   -9.413   -4.356
     805  -10.201   -4.611
     806  -10.354   -5.996
     807  -10.617   -5.287
     808   -9.806   -4.381
     809  -10.061   -4.269
     810  -10.465   -4.324
     811  -10.224   -3.441
     812  -10.044   -3.354
     813  -10.865   -4.600
     814   -9.813   -4.588
     815  -10.520   -4.066
     816   -9.770   -3.656
     817  -10.554   -2.693
     818   -9.985   -4.032
     819  -11.019   -3.426
     820  -10.959   -3.170
     821  -10.986   -3.148
     822  -10.903   -3.478
     823  -11.258   -3.330
     824  -10.612   -3.778
     825  -10.920   -4.164
     826  -11.238   -2.524
     827  -10.514   -3.281
     828  -10.578   -3.597
     829  -10.034   -3.759
     830  -10.627   -4.000
     831  -10.089   -3.979
     832   -9.816   -2.998
     833  -10.872   -3.256
     834  -10.735   -3.634
     835  -10.763   -2.783
     836  -10.996   -3.231
     837  -11.133   -3.056
     838  -11.283   -2.994
     839  -10.674   -3.524
     840   -9.747   -4.515
     841  -11.207   -3.377
     842  -10.513   -3.000
     843  -10.876   -3.585
     844  -10.603   -2.999
     845  -11.173   -3.366
     846  -11.110   -4.795
     847  -10.762   -4.376
     848  -11.375   -4.428
     849  -11.041   -3.743
     850  -10.878   -4.609
     851  -10.868   -3.842
     852  -10.772   -3.335
     853  -10.619   -4.039
     854  -10.779   -3.573
     855  -10.183   -3.040
     856  -10.443   -3.812
     857  -10.801   -3.344
     858  -10.479   -3.704
     859  -10.534   -3.783
     860  -10.129   -3.145
     861   -9.987   -3.458
     862   -9.754   -3.825
     863  -10.274   -3.201
     864  -11.087   -3.325
     865  -10.900   -2.765
     866  -11.089   -3.337
     867  -10.947   -2.929
     868  -10.717   -3.398
     869   -9.838   -3.568
     870  -10.268   -3.673
